Contract,Last,Change,Open,High,Low,Previous,Volume,Open Interest,Mo,Time
N25,2.5051,+0.11,2.3796,2.5275,2.3699,2.3933,76829.0,41906.0,1,2025/06/17
Q25,2.4711,+0.10,2.3582,2.4890,2.3511,2.3735,114279.0,77951.0,2,2025/06/17
U25,2.4578,+0.09,2.3460,2.4744,2.3417,2.3630,76557.0,47239.0,3,2025/06/17
V25,2.4449,+0.09,2.3416,2.4576,2.3334,2.3541,36365.0,23425.0,4,2025/06/17
X25,2.4246,+0.09,2.3217,2.4366,2.3206,2.3392,16898.0,20210.0,5,2025/06/17
Z25,2.4026,+0.08,2.3143,2.4128,2.3057,2.3222,39275.0,33641.0,6,2025/06/17
N25,2.3933,+0.03,2.4600,2.4898,2.2998,2.3587,89387.0,50856.0,1,2025/06/16
Q25,2.3735,+0.03,2.3778,2.4572,2.2848,2.3403,121511.0,77270.0,2,2025/06/16
U25,2.3630,+0.03,2.4100,2.4436,2.2793,2.3329,74203.0,46325.0,3,2025/06/16
V25,2.3541,+0.03,2.3700,2.4313,2.2750,2.3269,29663.0,23552.0,4,2025/06/16
X25,2.3392,+0.02,2.3985,2.4120,2.2637,2.3154,13874.0,19660.0,5,2025/06/16
Z25,2.3222,+0.02,2.3800,2.3943,2.2509,2.3024,37152.0,35731.0,6,2025/06/16
N25,2.3587,+0.17,2.2071,2.3963,2.2023,2.1887,106135.0,55543.0,1,2025/06/13
Q25,2.3403,+0.16,2.2003,2.3781,2.1953,2.1804,132211.0,83161.0,2,2025/06/13
U25,2.3329,+0.15,2.1981,2.3658,2.1959,2.1817,98416.0,46351.0,3,2025/06/13
V25,2.3269,+0.15,2.1966,2.3560,2.1955,2.1818,43719.0,24302.0,4,2025/06/13
X25,2.3154,+0.14,2.1945,2.3416,2.1897,2.1753,22796.0,18742.0,5,2025/06/13
Z25,2.3024,+0.14,2.1800,2.3270,2.1792,2.1668,55680.0,36744.0,6,2025/06/13
N25,2.1887,-0.02,2.2185,2.2205,2.1693,2.2053,60133.0,62002.0,1,2025/06/12
Q25,2.1804,-0.01,2.2050,2.2070,2.1607,2.1945,55459.0,82260.0,2,2025/06/12
U25,2.1817,-0.01,2.2011,2.2069,2.1631,2.1956,33771.0,50324.0,3,2025/06/12
V25,2.1818,-0.01,2.2001,2.2052,2.1646,2.1959,18499.0,25755.0,4,2025/06/12
X25,2.1753,-0.01,2.1934,2.1984,2.1596,2.1903,11878.0,19831.0,5,2025/06/12
Z25,2.1668,-0.01,2.1849,2.1899,2.1513,2.1813,17892.0,40258.0,6,2025/06/12
N25,2.2053,+0.06,2.1387,2.2103,2.1272,2.1416,59586.0,68258.0,1,2025/06/11
Q25,2.1945,+0.07,2.1240,2.1995,2.1134,2.1271,51904.0,79824.0,2,2025/06/11
U25,2.1956,+0.07,2.1217,2.2005,2.1153,2.1287,27811.0,49346.0,3,2025/06/11
V25,2.1959,+0.06,2.1236,2.2007,2.1177,2.1310,11169.0,24648.0,4,2025/06/11
X25,2.1903,+0.06,2.1209,2.1952,2.1151,2.1282,6645.0,17611.0,5,2025/06/11
Z25,2.1813,+0.06,2.1154,2.1860,2.1100,2.1224,16052.0,41800.0,6,2025/06/11
N25,2.1416,-0.00,2.1464,2.1751,2.1317,2.1464,69111.0,74017.0,1,2025/06/10
Q25,2.1271,-0.00,2.1281,2.1570,2.1174,2.1289,54386.0,75792.0,2,2025/06/10
U25,2.1287,-0.00,2.1287,2.1562,2.1193,2.1302,31587.0,46699.0,3,2025/06/10
V25,2.1310,-0.00,2.1302,2.1569,2.1220,2.1320,11217.0,24176.0,4,2025/06/10
X25,2.1282,0.00,2.1276,2.1531,2.1191,2.1282,7112.0,17167.0,5,2025/06/10
Z25,2.1224,+0.00,2.1216,2.1466,2.1133,2.1216,13888.0,39822.0,6,2025/06/10
N25,2.1464,+0.02,2.1331,2.1499,2.1198,2.1253,64816.0,81605.0,1,2025/06/09
Q25,2.1289,+0.02,2.1162,2.1323,2.1057,2.1112,48274.0,73058.0,2,2025/06/09
U25,2.1302,+0.02,2.1169,2.1331,2.1077,2.1135,24608.0,46836.0,3,2025/06/09
